Range from: [2021-07-08 10:00:00] To: [2021-07-08 11:00:00]
Host Name: [All                                                                ]
Real Ifname: [All       ] Protocol/Version: [TCP    ]/[4]
================================================================================

Time Stamp          Source:Port           Destination:Port            R D
------------------- --------------------- --------------------------- - ---
2021-07-08 10:10:46 10.5.16.100:62774      172.217.173.98:443          P in
2021-07-08 10:10:48 10.5.16.100:58809      18.229.227.102:443          P in
2021-07-08 10:10:48 10.5.16.100:62073      18.229.227.102:443          P in
2021-07-08 10:10:53 10.5.16.100:65370      172.217.173.68:443          P in
2021-07-08 10:10:54 10.5.16.100:51094      172.217.173.68:443          P in
2021-07-08 10:10:54 10.5.16.100:64863      157.240.222.60:443          P in
2021-07-08 10:10:55 10.5.16.100:61537      192.168.1.101:445           P in
2021-07-08 10:10:55 10.5.16.100:61538      192.168.1.101:139           P in
2021-07-08 10:10:56 10.5.16.100:53919      18.229.227.102:443          P in
2021-07-08 10:10:58 10.5.16.100:54883      3.219.142.126:443           P in
2021-07-08 10:10:58 10.5.16.100:57922      3.219.142.126:443           P in
2021-07-08 10:10:59 10.5.16.100:49645      172.217.162.194:443         P in
2021-07-08 10:10:59 10.5.16.100:63759      172.217.162.194:443         P in
2021-07-08 10:10:59 10.5.16.100:54985      172.217.28.226:443          P in
2021-07-08 10:10:59 10.5.16.100:59262      172.217.28.226:443          P in
2021-07-08 10:10:59 10.5.16.100:58391      104.254.148.133:443         P in
2021-07-08 10:10:59 10.5.16.100:50754      104.254.148.133:443         P in
2021-07-08 10:10:59 10.5.16.100:60618      172.217.162.194:443         P in
2021-07-08 10:10:59 10.5.16.100:60331      216.58.202.2:443            P in
2021-07-08 10:10:59 10.5.16.100:54197      172.217.162.194:443         P in
2021-07-08 10:10:59 10.5.16.100:64862      216.58.202.2:443            P in
2021-07-08 10:10:59 10.5.16.100:56025      216.58.202.2:443            P in
2021-07-08 10:10:59 10.5.16.100:51258      172.217.162.194:443         P in
2021-07-08 10:10:59 10.5.16.100:54316      151.101.1.253:443           P in
2021-07-08 10:10:59 10.5.16.100:49459      151.101.1.253:443           P in
2021-07-08 10:10:59 10.5.16.100:60003      151.101.1.253:443           P in
2021-07-08 10:10:59 10.5.16.100:58744      35.190.60.146:443           P in
2021-07-08 10:10:59 10.5.16.100:49554      52.3.165.109:443            P in
2021-07-08 10:10:59 10.5.16.100:60892      63.251.28.234:443           P in
2021-07-08 10:10:59 10.5.16.100:57676      63.251.28.234:443           P in
2021-07-08 10:11:00 10.5.16.100:49277      52.3.165.109:443            P in
